tbl,Date,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,200104,2200,23210,ABE,DAL,1300,0.21,97,DL,100,97,DL,100,97
Table 1a,200104,2200,23210,ABE,DFW,1308,39.56,297.21,US,45.87,288,US,45.87,288
Table 1a,200104,2200,37320,ABE,HOU,1351,2.28,409.23,DL,100,409.23,DL,100,409.23
Table 1a,200104,2200,37320,ABE,IAH,1339,23.8,361.88,US,44.29,379.31,NW,16.89,228.02
Table 1a,200104,2200,18500,ABE,MDW,646,3.15,197.03,NW,55.17,198.5,CO,27.58,173.25
Table 1a,200104,2200,18500,ABE,ORD,654,45.54,262.25,UA,68.25,260.65,US,18.85,254.67
Table 1a,200104,2200,87870,ABE,PIE,971,0.54,100,PN,100,100,PN,100,100
Table 1a,200104,2200,87870,ABE,TPA,963,74.13,123.46,US,55.57,119.77,US,55.57,119.77
Table 1a,200104,300,23210,ABI,DFW,157,13.58,158.08,AA,100,158.08,AA,100,158.08
Table 1a,200104,300,37320,ABI,HOU,323,4.89,175.91,AA,100,175.91,AA,100,175.91
Table 1a,200104,300,37320,ABI,IAH,306,6.52,207.05,AA,93.33,210.16,AA,93.33,210.16
Table 1a,200104,1680,23210,ABQ,DAL,580,595.1,106.13,WN,99.56,106.15,WN,99.56,106.15
Table 1a,200104,1680,96460,ABQ,DCA,1650,112.82,241.07,DL,45.85,240.52,CO,11.56,195.69
Table 1a,200104,1680,23210,ABQ,DFW,569,235.54,111.95,AA,72.31,112.97,DL,23.58,103.7
Table 1a,200104,1680,37320,ABQ,EFD,767,1.84,147.47,CO,100,147.47,CO,100,147.47
Table 1a,200104,1680,63760,ABQ,EWR,1805,127.06,228.79,CO,26.34,280.59,NW,17.1,107
Table 1a,200104,1680,37320,ABQ,HOU,759,190.32,138.32,WN,96.91,138.71,AA,1.99,118.62
Table 1a,200104,1680,96460,ABQ,IAD,1628,123.91,234.59,UA,51.49,233.38,UA,51.49,233.38
Table 1a,200104,1680,37320,ABQ,IAH,744,208.8,138.74,CO,88.59,139.71,AA,2.08,102.52
Table 1a,200104,1680,63760,ABQ,JFK,1826,16.84,226.59,AA,27.09,216.26,HP,14.19,178.68
Table 1a,200104,1680,63760,ABQ,LGA,1821,129.23,225.73,AA,30.78,222.98,CO,10.34,213.91
Table 1a,200104,1680,18500,ABQ,MDW,1121,146.73,140.45,WN,93.18,139.59,AA,1.62,131.22
Table 1a,200104,1680,18500,ABQ,ORD,1118,248.8,156.2,AA,64.43,153.55,AA,64.43,153.55
Table 1a,200104,1680,87870,ABQ,TPA,1497,191.52,102.33,WN,52.83,102.35,DL,19.92,93.37
Table 1a,200104,1540,96460,ABY,DCA,647,4.89,297.84,DL,100,297.84,DL,100,297.84
Table 1a,200104,1540,63760,ABY,EWR,844,6.41,188.08,DL,100,188.08,DL,100,188.08
Table 1a,200104,1540,96460,ABY,IAD,637,6.52,191.35,DL,96.66,184.46,DL,96.66,184.46
Table 1a,200104,1540,63760,ABY,JFK,856,0.21,107,DL,50,108,DL,50,108
Table 1a,200104,1540,63760,ABY,LGA,859,5.86,176.51,DL,94.44,176.82,DL,94.44,176.82
Table 1a,200104,62400,63760,ACK,EWR,219,0.43,258,,,,,,
Table 1a,200104,62400,63760,ACK,JFK,199,0.32,172.66,,,,,,
Table 1a,200104,62400,63760,ACK,LGA,202,17.39,200.95,US,90.62,199.4,US,90.62,199.4
Table 1a,200104,95810,96460,ACT,DCA,1243,8.69,289.76,AA,98.75,291.67,AA,98.75,291.67
Table 1a,200104,95810,96460,ACT,IAD,1223,3.47,293.09,AA,84.37,293.37,AA,84.37,293.37
Table 1a,200104,5870,87870,ACY,TPA,914,175.21,109.37,NK,99.25,109.14,NK,99.25,109.14
Table 1a,200104,1910,96460,AEX,DCA,1018,4.89,210.91,CO,40,193.44,CO,40,193.44
Table 1a,200104,1910,23210,AEX,DFW,285,15.54,174.74,DL,95.8,172.41,DL,95.8,172.41
Table 1a,200104,1910,63760,AEX,EWR,1211,6.19,165.08,CO,50.87,197.34,NW,31.57,129.66
Table 1a,200104,1910,96460,AEX,IAD,1001,7.82,221.43,NW,55.55,195.22,DL,11.11,178.75
Table 1a,200104,1910,63760,AEX,JFK,1228,0.32,130,DL,100,130,DL,100,130
Table 1a,200104,1910,63760,AEX,LGA,1228,12.82,186.34,NW,57.62,140.47,NW,57.62,140.47
Table 1a,200104,5980,23210,AGS,DAL,864,1.19,233.18,DL,100,233.18,DL,100,233.18
Table 1a,200104,5980,96460,AGS,DCA,468,12.71,189.93,DL,53.84,198.5,US,44.44,183.09
Table 1a,200104,5980,23210,AGS,DFW,874,22.93,203.06,DL,95.26,202.98,US,4.26,192.22
Table 1a,200104,5980,63760,AGS,EWR,663,25.86,169.23,DL,71.42,169.24,DL,71.42,169.24
Table 1a,200104,5980,37320,AGS,HOU,826,8.26,186.52,DL,94.73,176.27,DL,94.73,176.27
Table 1a,200104,5980,96460,AGS,IAD,459,16.63,220.64,DL,81.04,218.15,DL,81.04,218.15
Table 1a,200104,5980,37320,AGS,IAH,821,12.93,189.05,DL,93.27,189.76,US,3.36,149
Table 1a,200104,5980,63760,AGS,JFK,675,2.17,197.4,DL,100,197.4,DL,100,197.4
Table 1a,200104,5980,63760,AGS,LGA,678,26.41,184.18,DL,65.43,175.06,DL,65.43,175.06
Table 1a,200104,5980,18500,AGS,MDW,661,1.19,217.63,DL,100,217.63,DL,100,217.63
Table 1a,200104,5980,18500,AGS,ORD,677,21.19,256.12,DL,84.1,257.34,US,13.84,230.48
Table 1a,200104,5980,87870,AGS,TPA,373,13.91,191.42,DL,91.4,188.12,DL,91.4,188.12
Table 1a,200104,1580,23210,ALB,DAL,1428,1.63,236.86,WN,60,277.44,DL,26.66,230.25
Table 1a,200104,1580,96460,ALB,DCA,317,28.26,162.76,US,90.76,160.47,US,90.76,160.47
Table 1a,200104,1580,23210,ALB,DFW,1435,96.63,197.44,US,33.52,174.46,CO,15.18,126.27
Table 1a,200104,1580,63760,ALB,EWR,143,14.45,222.9,CO,99.24,222.97,CO,99.24,222.97
Table 1a,200104,1580,37320,ALB,HOU,1495,31.84,160.48,WN,82.93,159.83,WN,82.93,159.83
Table 1a,200104,1580,96460,ALB,IAD,325,4.34,136.27,US,45,124.44,US,45,124.44
Table 1a,200104,1580,37320,ALB,IAH,1481,65.76,199.49,US,32.06,152.42,US,32.06,152.42
Table 1a,200104,1580,63760,ALB,JFK,145,19.34,125.35,AA,99.43,124.73,AA,99.43,124.73
Table 1a,200104,1580,63760,ALB,LGA,136,12.17,139.9,US,100,139.9,US,100,139.9
Table 1a,200104,1580,18500,ALB,MDW,717,52.39,129,WN,95.02,125.44,WN,95.02,125.44
Table 1a,200104,1580,18500,ALB,ORD,723,224.56,168.56,UA,48.16,169.83,AA,39.49,167.62
Table 1a,200104,1580,87870,ALB,TPA,1130,215.21,112.88,US,37.77,119.79,DL,21.66,106.07
Table 1a,200104,2780,23210,AMA,DAL,324,516.52,63.67,WN,99.34,63.5,WN,99.34,63.5
Table 1a,200104,2780,96460,AMA,DCA,1383,9.56,317.34,AA,62.5,325.9,CO,17.04,179.66
Table 1a,200104,2780,23210,AMA,DFW,313,109.56,69.66,AA,86.5,69.94,DL,12.2,68.84
Table 1a,200104,2780,37320,AMA,EFD,545,0.43,122.25,CO,75,119.66,CO,75,119.66
Table 1a,200104,2780,63760,AMA,EWR,1544,7.93,243.08,AA,61.64,178.64,AA,61.64,178.64
Table 1a,200104,2780,37320,AMA,HOU,538,118.15,115.73,WN,97.6,116.17,AA,1.56,94
Table 1a,200104,2780,96460,AMA,IAD,1361,8.15,224.93,AA,61.33,247.65,CO,29.33,204.63
Table 1a,200104,2780,37320,AMA,IAH,518,110.65,110.63,CO,78.38,109.79,CO,78.38,109.79
Table 1a,200104,2780,63760,AMA,JFK,1565,0.76,484,AA,57.14,657.25,DL,14.28,331
Table 1a,200104,2780,63760,AMA,LGA,1560,12.06,217.42,AA,74.77,208.08,AA,74.77,208.08
Table 1a,200104,2780,18500,AMA,MDW,880,6.3,173.22,WN,48.27,147.46,WN,48.27,147.46
Table 1a,200104,2780,18500,AMA,ORD,879,18.15,194.26,AA,65.86,172.3,AA,65.86,172.3
Table 1a,200104,2780,87870,AMA,TPA,1234,12.93,157.82,AA,32.77,206.92,WN,20.16,127.25
Table 1a,200104,5540,96460,ASE,DCA,1598,1.08,182.4,UA,60,186.66,HP,20,157
Table 1a,200104,5540,23210,ASE,DFW,702,15.43,262.91,UA,81.69,268.05,HP,9.15,174.38
Table 1a,200104,5540,63760,ASE,EWR,1729,16.84,295.89,UA,83.22,307.59,HP,2.58,189
Table 1a,200104,5540,96460,ASE,IAD,1575,15,338.89,UA,91.3,339.26,UA,91.3,339.26
Table 1a,200104,5540,37320,ASE,IAH,914,19.02,225.53,UA,81.71,227.24,HP,11.42,198.9
Table 1a,200104,5540,63760,ASE,JFK,1750,0.21,265,NW,100,265,NW,100,265
Table 1a,200104,5540,63760,ASE,LGA,1744,33.47,365.12,UA,89.28,347.75,UA,89.28,347.75
Table 1a,200104,5540,18500,ASE,MDW,1020,0.21,263,,,,,,
Table 1a,200104,5540,18500,ASE,ORD,1013,28.69,243.18,UA,95.07,246.22,NW,1.51,207
Table 1a,200104,5850,23210,ATL,DAL,721,64.56,117.86,DL,95.62,118.78,CO,3.36,87.6
Table 1a,200104,5850,96460,ATL,DCA,547,620.32,197.18,DL,92.25,202.78,CO,1.03,72.84
Table 1a,200104,5850,23210,ATL,DFW,732,2123.15,138.26,DL,56.8,145.06,FL,10.29,106.16
Table 1a,200104,5850,37320,ATL,EFD,691,2.39,150.22,CO,100,150.22,CO,100,150.22
Table 1a,200104,5850,63760,ATL,EWR,745,2195.65,131.55,DL,51.82,134.49,CO,34.73,132.22
Table 1a,200104,5850,37320,ATL,HOU,696,567.39,119.16,DL,60.86,125.35,FL,35.76,108.48
Table 1a,200104,5850,96460,ATL,IAD,533,1934.34,120.07,DL,59.04,128.65,FL,21.65,100.97
Table 1a,200104,5850,37320,ATL,IAH,689,822.5,142.8,CO,51.15,144.47,DL,44.46,140.52
Table 1a,200104,5850,63760,ATL,JFK,760,172.06,122.78,DL,90.33,121.78,CO,1.2,65.31
Table 1a,200104,5850,63760,ATL,LGA,761,3156.63,130.77,DL,80.47,134.55,FL,13.94,104.91
Table 1a,200104,5850,18500,ATL,MDW,591,915.54,112.28,FL,65.8,111.87,DL,32.82,111.53
Table 1a,200104,5850,18500,ATL,ORD,605,1835.21,166.83,DL,54.81,172.25,AA,15.37,160.01
Table 1a,200104,5850,87870,ATL,TPA,406,1349.89,119.64,DL,73.37,122.97,FL,23.77,108.54
Table 1a,200104,4350,96460,ATW,DCA,701,15,166.44,UA,41.3,157.52,UA,41.3,157.52
