Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2010,2,Table 1a,100,245.51,100,245.51,2200,96460,ABE,DCA,151,1.868131868,245.5052941,US,US
2010,2,Table 1a,45.43,277.55,22.45,201.88,2200,23210,ABE,DFW,1308,42.08791209,235.1552219,US,DL
2010,2,Table 1a,53.57,184.01,53.57,184.01,2200,37320,ABE,HOU,1351,3.076923077,192.5425,FL,FL
2010,2,Table 1a,100,239.16,100,239.16,2200,96460,ABE,IAD,160,10.65934066,239.1556701,UA,UA
2010,2,Table 1a,34.56,251.29,22.79,234.08,2200,37320,ABE,IAH,1339,14.94505495,230.5527206,US,DL
2010,2,Table 1a,54.55,199.85,36.36,129.45,2200,18500,ABE,MDW,646,1.208791209,180.4463636,DL,FL
2010,2,Table 1a,76.27,269.3,11.57,200.89,2200,18500,ABE,ORD,654,110.2197802,253.698016,UA,US
2010,2,Table 1a,100,111.24,100,111.24,2200,87870,ABE,PIE,971,82.41758242,111.2422933,G4,G4
2010,2,Table 1a,69.89,198.08,14.13,172.58,2200,87870,ABE,TPA,963,29.56043956,189.9399628,US,UA
2010,2,Table 1a,100,264.7,100,264.7,300,96460,ABI,DCA,1345,9.340659341,264.7037647,AA,AA
2010,2,Table 1a,100,126.92,100,126.92,300,23210,ABI,DFW,158,26.48351648,126.9158921,AA,AA
2010,2,Table 1a,95.89,188.11,95.89,188.11,300,37320,ABI,HOU,323,8.021978022,187.1893151,AA,AA
2010,2,Table 1a,86.67,304.31,86.67,304.31,300,96460,ABI,IAD,1325,1.648351648,312.28,AA,AA
2010,2,Table 1a,94.67,178.17,94.67,178.17,300,37320,ABI,IAH,307,8.241758242,184.886,AA,AA
2010,2,Table 1a,99.02,264.53,99.02,264.53,300,18500,ABI,ORD,924,11.20879121,262.5886275,AA,AA
2010,2,Table 1a,99.97,175.85,99.97,175.85,1680,23210,ABQ,DAL,580,402.6373626,175.8584088,WN,WN
2010,2,Table 1a,57.25,291.06,14.51,231.73,1680,96460,ABQ,DCA,1650,170.4395604,285.8272276,AA,F9
2010,2,Table 1a,96.89,180.13,96.89,180.13,1680,23210,ABQ,DFW,569,222.7472528,180.6379576,AA,AA
2010,2,Table 1a,44.05,180.78,16.63,176.02,1680,63760,ABQ,EWR,1805,139.4505495,208.5033176,AA,DL
2010,2,Table 1a,98.79,191.68,98.79,191.68,1680,37320,ABQ,HOU,759,227.032967,191.6644531,WN,WN
2010,2,Table 1a,72.05,346.68,12.62,262.71,1680,96460,ABQ,IAD,1628,165.4945055,327.0115272,UA,WN
2010,2,Table 1a,85.11,204.3,85.11,204.3,1680,37320,ABQ,IAH,744,135.0549451,206.8765663,CO,CO
2010,2,Table 1a,69,226.2,69,226.2,1680,63760,ABQ,JFK,1825,32.96703297,241.7541667,DL,DL
2010,2,Table 1a,44.54,203.85,22.01,186.07,1680,63760,ABQ,LGA,1821,248.6813187,205.3762925,AA,DL
2010,2,Table 1a,94.62,181.02,94.62,181.02,1680,18500,ABQ,MDW,1121,196.2637363,180.726243,WN,WN
2010,2,Table 1a,76.28,180.18,76.28,180.18,1680,18500,ABQ,ORD,1118,200.1098901,191.9267381,AA,AA
2010,2,Table 1a,55.01,181.49,55.01,181.49,1680,87870,ABQ,TPA,1497,121.6483517,190.3630623,WN,WN
2010,2,Table 1a,97.18,258.08,97.18,258.08,1540,96460,ABY,DCA,647,15.6043956,259.061831,DL,DL
2010,2,Table 1a,97.3,232.16,97.3,232.16,1540,96460,ABY,IAD,637,4.065934066,238.8245946,DL,DL
2010,2,Table 1a,71.9,253.28,10.74,143.66,62400,96460,ACK,DCA,405,13.2967033,234.0184298,US,DL
2010,2,Table 1a,37.5,130.29,37.5,130.29,62400,63760,ACK,EWR,218,1.758241758,233.0625,CO,CO
2010,2,Table 1a,87.8,201.54,87.8,201.54,62400,96460,ACK,IAD,423,4.505494506,197.2109756,B6,B6
2010,2,Table 1a,75.64,135.62,24.36,105.7,62400,63760,ACK,JFK,199,55.4945055,128.3287525,B6,DL
2010,2,Table 1a,88.68,218.85,88.68,218.85,62400,63760,ACK,LGA,202,11.64835165,242.845283,US,US
2010,2,Table 1a,89.74,301.95,89.74,301.95,95810,96460,ACT,DCA,1243,8.571428571,307.2132051,AA,AA
2010,2,Table 1a,88.24,420.53,88.24,420.53,95810,96460,ACT,IAD,1223,3.736263736,417.3173529,AA,AA
2010,2,Table 1a,62.5,331.22,15.63,326.99,27760,63760,ACV,EWR,2580,3.516483517,322.4046875,UA,CO
2010,2,Table 1a,54.1,396.42,14.75,277.39,27760,63760,ACV,JFK,2601,6.703296703,371.3145902,UA,AS
2010,2,Table 1a,100,237.9,100,237.9,27760,63760,ACV,LGA,2593,0.989010989,237.9044444,UA,UA
2010,2,Table 1a,96.75,106.55,96.75,106.55,5870,87870,ACY,TPA,914,236.9230769,108.3991698,NK,NK
2010,2,Table 1a,100,428,100,428,1910,23210,AEX,DAL,273,0.43956044,428.0025,CO,CO
2010,2,Table 1a,45.45,333.21,13.33,262.49,1910,96460,AEX,DCA,1018,18.13186813,316.362303,DL,AA
2010,2,Table 1a,99.48,236.4,99.48,236.4,1910,23210,AEX,DFW,285,20.98901099,236.9172775,AA,AA
2010,2,Table 1a,51.52,265.53,51.52,265.53,1910,63760,AEX,EWR,1211,7.252747253,293.6833333,CO,CO
2010,2,Table 1a,52.17,345.78,26.09,300.75,1910,96460,AEX,IAD,1001,5.054945055,343.1769565,DL,AA
2010,2,Table 1a,100,327.23,100,327.23,1910,37320,AEX,IAH,190,14.28571429,327.2308462,CO,CO
2010,2,Table 1a,70.59,277.32,11.76,202.38,1910,63760,AEX,JFK,1228,1.868131868,265.5282353,DL,AA
2010,2,Table 1a,57.26,233.57,57.26,233.57,1910,63760,AEX,LGA,1228,13.62637363,248.1909677,DL,DL
2010,2,Table 1a,94.12,289.49,94.12,289.49,1910,18500,AEX,MDW,769,1.868131868,282.7394118,DL,DL
2010,2,Table 1a,39.2,270.71,36.8,242.35,1910,18500,AEX,ORD,778,13.73626374,263.35384,AA,DL
2010,2,Table 1a,100,272.99,100,272.99,5980,23210,AGS,DAL,863,0.21978022,272.99,DL,DL
2010,2,Table 1a,57.7,233,41.07,224.62,5980,96460,AGS,DCA,468,53.51648352,230.2561807,US,DL
2010,2,Table 1a,47.86,208.86,47.86,208.86,5980,23210,AGS,DFW,874,38.57142857,226.027094,DL,DL
2010,2,Table 1a,51.17,260.08,51.17,260.08,5980,63760,AGS,EWR,663,23.40659341,276.4487793,US,US
2010,2,Table 1a,95.56,197.99,95.56,197.99,5980,37320,AGS,HOU,826,9.89010989,193.9857778,DL,DL
2010,2,Table 1a,51.13,286.59,42.86,218.05,5980,96460,AGS,IAD,459,14.61538462,255.101203,DL,US
2010,2,Table 1a,46.27,248.98,42.35,212.39,5980,37320,AGS,IAH,821,28.02197802,237.9049412,US,DL
2010,2,Table 1a,68.12,241.72,26.09,196.02,5980,63760,AGS,JFK,675,7.582417582,230.3230435,DL,US
2010,2,Table 1a,54.27,218.07,54.27,218.07,5980,63760,AGS,LGA,678,50.21978022,217.4583151,DL,DL
2010,2,Table 1a,99.12,194.29,99.12,194.29,5980,18500,AGS,MDW,661,12.41758242,193.9366372,DL,DL
2010,2,Table 1a,42.27,222.34,20.12,219.52,5980,18500,AGS,ORD,677,37.69230769,226.3339359,DL,UA
2010,2,Table 1a,63.23,185.9,63.23,185.9,5980,87870,AGS,TPA,373,24.50549451,191.6252018,DL,DL
2010,2,Table 1a,99.25,255.91,99.25,255.91,1580,23210,ALB,DAL,1427,14.61538462,255.7730075,WN,WN
2010,2,Table 1a,98.41,257.77,98.41,257.77,1580,96460,ALB,DCA,318,96.7032967,257.9632046,US,US
2010,2,Table 1a,31.77,255.43,25.39,204.63,1580,23210,ALB,DFW,1435,105.1648352,227.8683595,US,DL
2010,2,Table 1a,98.78,272.87,98.78,272.87,1580,63760,ALB,EWR,143,9.010989011,274.8818293,CO,CO
2010,2,Table 1a,95.29,232.96,95.29,232.96,1580,37320,ALB,HOU,1495,32.63736264,233.2189562,WN,WN
2010,2,Table 1a,97.18,296.8,97.18,296.8,1580,96460,ALB,IAD,325,39.01098901,295.835493,UA,UA
2010,2,Table 1a,59.09,248.36,11.88,235.42,1580,37320,ALB,IAH,1482,74.94505495,250.3716422,CO,DL
2010,2,Table 1a,97.06,150.15,97.06,150.15,1580,63760,ALB,JFK,145,7.472527473,149.8036765,DL,DL
2010,2,Table 1a,100,183.02,100,183.02,1580,63760,ALB,LGA,136,3.406593407,183.0170968,US,US
2010,2,Table 1a,99.33,194.33,99.33,194.33,1580,18500,ALB,MDW,717,131.978022,194.0286428,WN,WN
2010,2,Table 1a,91.7,206.28,91.7,206.28,1580,18500,ALB,ORD,723,199.8901099,209.327856,UA,UA
2010,2,Table 1a,77.47,178.23,77.47,178.23,1580,87870,ALB,TPA,1130,316.043956,184.4414673,WN,WN
2010,2,Table 1a,99.84,110.02,99.84,110.02,2780,23210,AMA,DAL,324,420.3296703,110.0429856,WN,WN
2010,2,Table 1a,63.78,249.12,13.78,180.96,2780,96460,AMA,DCA,1383,21.53846154,248.4828061,AA,DL
2010,2,Table 1a,96.35,124.42,96.35,124.42,2780,23210,AMA,DFW,313,111.5384615,124.0292808,AA,AA
2010,2,Table 1a,56.2,312.09,23.97,254.28,2780,63760,AMA,EWR,1544,13.2967033,280.9495868,CO,AA
2010,2,Table 1a,98.64,176.95,98.64,176.95,2780,37320,AMA,HOU,538,112.967033,177.4470525,WN,WN
2010,2,Table 1a,73.58,245.4,73.58,245.4,2780,96460,AMA,IAD,1361,5.824175824,288.2203774,AA,AA
2010,2,Table 1a,95.96,185.94,95.96,185.94,2780,37320,AMA,IAH,519,108.7912088,185.396899,CO,CO
2010,2,Table 1a,59.46,323.23,59.46,323.23,2780,63760,AMA,JFK,1564,4.065934066,291.6464865,AA,AA
2010,2,Table 1a,54.26,257.01,13.9,173.03,2780,63760,AMA,LGA,1560,24.50549451,234.1691928,AA,DL
2010,2,Table 1a,96.12,228.31,96.12,228.31,2780,18500,AMA,MDW,880,11.31868132,228.5783495,WN,WN
2010,2,Table 1a,66.67,264.91,26.14,237.64,2780,18500,AMA,ORD,879,16.81318681,251.6885621,AA,CO
2010,2,Table 1a,41.13,278.03,22.58,275.62,2780,87870,AMA,TPA,1234,13.62637363,276.2468548,WN,CO
2010,2,Table 1a,77.61,241.65,77.61,241.65,5540,96460,ASE,DCA,1598,7.362637363,288.0202985,F9,F9
2010,2,Table 1a,48.95,231.98,47.68,222.52,5540,23210,ASE,DFW,701,26.04395604,228.961308,UA,F9
2010,2,Table 1a,80.8,428.11,80.8,428.11,5540,63760,ASE,EWR,1729,13.73626374,448.41728,UA,UA
2010,2,Table 1a,97.39,394.2,97.39,394.2,5540,96460,ASE,IAD,1574,16.81318681,393.3028105,UA,UA
2010,2,Table 1a,56.52,267.05,23.67,236.44,5540,37320,ASE,IAH,914,22.74725275,288.7325121,UA,F9
2010,2,Table 1a,0,0,0,9999,5540,63760,ASE,JFK,1750,0.43956044,239.3375,,
2010,2,Table 1a,74.01,385.12,19.96,254.98,5540,63760,ASE,LGA,1744,52.85714286,358.3653638,UA,F9
2010,2,Table 1a,98.85,189.81,98.85,189.81,5540,18500,ASE,MDW,1020,9.56043956,191.8754023,F9,F9
2010,2,Table 1a,95.86,261.1,95.86,261.1,5540,18500,ASE,ORD,1013,34.50549451,261.6070701,UA,UA
2010,2,Table 1a,60.76,178.51,60.76,178.51,5850,23210,ATL,DAL,721,8.681318681,185.2421519,DL,DL
2010,2,Table 1a,73.7,189.07,23.15,138.13,5850,96460,ATL,DCA,547,2048.681319,178.594694,DL,FL
2010,2,Table 1a,40.49,188.64,18.14,149.81,5850,23210,ATL,DFW,732,2310.549451,185.0406202,DL,FL
2010,2,Table 1a,58.43,241.41,58.43,241.41,5850,63760,ATL,EWR,745,1270.659341,245.6303987,DL,DL
2010,2,Table 1a,51.43,142.4,51.43,142.4,5850,37320,ATL,HOU,696,693.7362637,158.5138223,FL,FL
2010,2,Table 1a,59.35,187.84,23.16,133.81,5850,96460,ATL,IAD,533,831.2087912,177.605747,DL,FL
2010,2,Table 1a,52.55,196.26,52.55,196.26,5850,37320,ATL,IAH,689,782.0879121,200.5626359,CO,CO
2010,2,Table 1a,91.64,205.81,91.64,205.81,5850,63760,ATL,JFK,760,385.2747253,207.7488762,DL,DL
2010,2,Table 1a,64.75,203.84,27.99,142.83,5850,63760,ATL,LGA,761,3876.153846,184.831022,DL,FL
2010,2,Table 1a,55.18,130.13,55.18,130.13,5850,18500,ATL,MDW,590,1141.098901,143.680624,FL,FL
2010,2,Table 1a,46.63,192.15,22.29,169.79,5850,18500,ATL,ORD,606,1775.164835,183.6878389,DL,AA
2010,2,Table 1a,66.01,169.34,30.98,143.89,5850,87870,ATL,TPA,406,1189.56044,161.8041229,DL,FL
2010,2,Table 1a,45.86,187.46,45.86,187.46,4350,96460,ATW,DCA,702,17.25274725,201.9855414,UA,UA
2010,2,Table 1a,43,239.44,23,236.2,4350,23210,ATW,DFW,908,21.97802198,249.4882,DL,YX
2010,2,Table 1a,53.52,288.98,53.52,288.98,4350,63760,ATW,EWR,772,7.802197802,294.3630986,DL,DL
2010,2,Table 1a,100,308.64,100,308.64,4350,37320,ATW,HOU,1074,0.54945055,308.638,DL,DL
2010,2,Table 1a,54.67,212.43,54.67,212.43,4350,96460,ATW,IAD,680,8.241758242,216.1193333,UA,UA
2010,2,Table 1a,58.7,385.32,30.43,326.36,4350,37320,ATW,IAH,1053,10.10989011,357.1368478,UA,DL
2010,2,Table 1a,78.95,289.27,78.95,289.27,4350,63760,ATW,JFK,793,2.087912088,317.0168421,DL,DL
2010,2,Table 1a,41.63,206.61,41.63,206.61,4350,63760,ATW,LGA,784,26.92307692,215.3189388,UA,UA
2010,2,Table 1a,55.8,166.89,55.8,166.89,4350,87870,ATW,TPA,1171,19.89010989,176.4738122,DL,DL
2010,2,Table 1a,99.95,135.76,99.95,135.76,6100,23210,AUS,DAL,189,863.5164835,135.763828,WN,WN
2010,2,Table 1a,48.59,296.62,13.61,266.67,6100,96460,AUS,DCA,1316,209.8901099,300.8939005,AA,DL
2010,2,Table 1a,99.18,136.16,99.18,136.16,6100,23210,AUS,DFW,190,308.6813187,136.7455678,AA,AA
2010,2,Table 1a,72.28,306.19,14.99,177.67,6100,63760,AUS,EWR,1504,403.1868132,279.4757454,CO,AA
2010,2,Table 1a,100,128.06,100,128.06,6100,37320,AUS,HOU,148,260.5494506,128.0629692,WN,WN
2010,2,Table 1a,50.9,391.02,15.88,217.13,6100,96460,AUS,IAD,1297,189.5604396,334.3205044,UA,WN
2010,2,Table 1a,95.01,140.58,95.01,140.58,6100,37320,AUS,IAH,140,134.2857143,139.6099427,CO,CO
2010,2,Table 1a,95.82,203.89,95.82,203.89,6100,63760,AUS,JFK,1522,481.4285714,205.3476375,B6,B6
2010,2,Table 1a,45.63,245.63,19.27,228.79,6100,63760,AUS,LGA,1520,232.6373626,243.2082759,AA,CO
2010,2,Table 1a,96.54,196.63,96.54,196.63,6100,18500,AUS,MDW,972,247.4725275,195.7887522,WN,WN
2010,2,Table 1a,70.44,195.05,70.44,195.05,6100,18500,AUS,ORD,978,656.5934066,200.9684519,AA,AA
2010,2,Table 1a,64.06,185.52,64.06,185.52,6100,87870,AUS,TPA,928,213.4065934,191.2310968,WN,WN
2010,2,Table 1a,100,249.51,100,249.51,5420,23210,AVL,DAL,838,0.21978022,249.51,CO,CO
2010,2,Table 1a,76.78,259.3,20.77,237.29,5420,96460,AVL,DCA,384,40.21978022,254.1174317,US,DL
2010,2,Table 1a,45.97,239.36,45.97,239.36,5420,23210,AVL,DFW,848,42.30769231,253.6481558,US,US
