Year,Quarter,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
2012,2,30135,30721,ABE,BOS,259,8.57,361.87,US,78.2,343.16,US,78.2,343.16
2012,2,30135,32575,ABE,BUR,2378,0.33,321.68,UA,100,321.68,UA,100,321.68
2012,2,30135,30852,ABE,BWI,121,0.44,428.75,US,100,428.75,US,100,428.75
2012,2,30135,30647,ABE,CAK,315,0.77,313.71,DL,42.9,366.99,US,42.9,287.52
2012,2,30135,30647,ABE,CLE,339,16.92,234.58,UA,63.6,204.42,UA,63.6,204.42
2012,2,30135,30194,ABE,DAL,1300,0.11,505.96,UA,100,505.96,UA,100,505.96
2012,2,30135,30852,ABE,DCA,151,2.75,182.24,US,100,182.24,US,100,182.24
2012,2,30135,30194,ABE,DFW,1307,38.57,272.47,UA,40.5,207.62,UA,40.5,207.62
2012,2,30135,32467,ABE,FLL,1041,25.38,221.56,US,55.8,239.26,UA,11.7,189.69
2012,2,30135,31453,ABE,HOU,1350,2.31,253.85,DL,95.2,254.57,DL,95.2,254.57
2012,2,30135,30852,ABE,IAD,159,13.63,217.01,UA,99.2,216.41,UA,99.2,216.41
2012,2,30135,31453,ABE,IAH,1339,32.64,265.39,UA,58.6,232.87,UA,58.6,232.87
2012,2,30135,32575,ABE,LAX,2388,27.03,316.63,UA,58.9,297.07,UA,58.9,297.07
2012,2,30135,30977,ABE,MDW,646,0.77,321.86,DL,100,321.86,DL,100,321.86
2012,2,30135,30721,ABE,MHT,260,1.76,319.53,US,75,335.34,UA,18.8,263.02
2012,2,30135,32467,ABE,MIA,1061,14.62,249.54,US,54.9,267.02,DL,27.1,229.09
2012,2,30135,32457,ABE,OAK,2490,1.1,427.35,DL,40,412.28,DL,40,412.28
2012,2,30135,32575,ABE,ONT,2342,3.63,455.78,US,48.5,456.91,US,48.5,456.91
2012,2,30135,30977,ABE,ORD,654,86.81,340.4,UA,77.2,352.02,US,19.9,297.14
2012,2,30135,33195,ABE,PIE,970,97.8,125.16,G4,100,125.16,G4,100,125.16
2012,2,30135,30721,ABE,PVD,222,1.54,363.54,US,92.9,375.39,US,92.9,375.39
2012,2,30135,32457,ABE,SFO,2500,24.18,350.85,UA,64.6,318.07,UA,64.6,318.07
2012,2,30135,32457,ABE,SJC,2483,2.97,370.39,US,44.4,409.95,UA,33.3,272.97
2012,2,30135,32575,ABE,SNA,2367,5.82,352.71,UA,58.5,332.19,UA,58.5,332.19
2012,2,30135,33195,ABE,TPA,962,17.03,266.09,US,40.7,299.36,UA,28.4,219.51
2012,2,30136,30852,ABI,BWI,1370,6.59,406.25,AA,95,405.54,AA,95,405.54
2012,2,30136,30852,ABI,DCA,1345,4.73,382.46,AA,100,382.46,AA,100,382.46
2012,2,30136,30194,ABI,DFW,158,29.89,124.01,AA,100,124.01,AA,100,124.01
2012,2,30136,31453,ABI,HOU,323,6.04,221.22,AA,98.2,221.85,AA,98.2,221.85
2012,2,30136,30852,ABI,IAD,1325,1.21,505.28,AA,90.9,497.26,AA,90.9,497.26
2012,2,30136,31453,ABI,IAH,307,8.79,182.84,AA,97.5,182.46,AA,97.5,182.46
2012,2,30136,32575,ABI,LAX,1089,12.09,283.35,AA,98.2,281.6,AA,98.2,281.6
2012,2,30136,32575,ABI,LGB,1074,0.44,441.5,,0,0,,0,9999
2012,2,30136,32575,ABI,ONT,1043,2.31,342.92,AA,85.7,337.86,AA,85.7,337.86
2012,2,30136,30977,ABI,ORD,924,12.75,304.91,AA,99.1,306.16,AA,99.1,306.16
2012,2,30136,32575,ABI,SNA,1058,3.19,327.06,AA,86.2,333.46,AA,86.2,333.46
2012,2,30140,30721,ABQ,BOS,1974,191.32,285.74,AA,49.2,264.47,AA,49.2,264.47
2012,2,30140,32575,ABQ,BUR,672,53.41,208.25,WN,88.9,202.99,WN,88.9,202.99
2012,2,30140,30852,ABQ,BWI,1670,326.7,251.84,WN,70.3,264.1,AA,15,223.49
2012,2,30140,30647,ABQ,CAK,1427,10.88,221.68,F9,72.7,212.34,F9,72.7,212.34
2012,2,30140,30647,ABQ,CLE,1411,43.96,291.47,WN,37,294.71,AA,21.5,285.41
2012,2,30140,30194,ABQ,DAL,580,365.38,203.63,WN,99.7,203.64,WN,99.7,203.64
2012,2,30140,30852,ABQ,DCA,1650,144.51,308.31,AA,51.5,284.26,AA,51.5,284.26
2012,2,30140,30194,ABQ,DFW,569,194.29,206.48,AA,97,206.29,AA,97,206.29
2012,2,30140,31703,ABQ,EWR,1805,169.78,252.71,UA,33.8,270.74,WN,28.5,228.34
2012,2,30140,32467,ABQ,FLL,1687,108.02,234.17,WN,43.5,246.36,AA,37.4,219.92
2012,2,30140,31453,ABQ,HOU,759,222.75,218.6,WN,97.8,218.16,WN,97.8,218.16
2012,2,30140,31703,ABQ,HPN,1830,4.29,423.25,DL,56.4,475.7,AA,28.2,354.55
2012,2,30140,30852,ABQ,IAD,1628,172.09,332.45,UA,66.7,352,AA,14.2,259.19
2012,2,30140,31453,ABQ,IAH,744,122.42,240.2,UA,89.8,239.63,UA,89.8,239.63
2012,2,30140,31703,ABQ,ISP,1861,12.75,308.43,WN,100,308.43,WN,100,308.43
2012,2,30140,31703,ABQ,JFK,1826,23.41,299.75,AA,46.5,275.39,AA,46.5,275.39
2012,2,30140,32575,ABQ,LAX,677,616.37,187.29,WN,69.4,182.13,WN,69.4,182.13
2012,2,30140,31703,ABQ,LGA,1821,212.53,255.57,AA,59.5,244.09,AA,59.5,244.09
2012,2,30140,32575,ABQ,LGB,664,12.86,186.31,US,82.1,190.71,DL,17.1,168.02
2012,2,30140,30977,ABQ,MDW,1121,179.12,238.89,WN,90.4,243.43,WN,90.4,243.43
2012,2,30140,30721,ABQ,MHT,1955,33.41,298.03,WN,84.9,293.68,WN,84.9,293.68
2012,2,30140,32467,ABQ,MIA,1689,33.96,272.28,AA,67.3,250.93,AA,67.3,250.93
2012,2,30140,32457,ABQ,OAK,889,395.6,192.04,WN,94.4,190.69,WN,94.4,190.69
2012,2,30140,32575,ABQ,ONT,630,76.59,223.07,WN,81.2,223.12,WN,81.2,223.12
2012,2,30140,30977,ABQ,ORD,1118,157.47,264.42,AA,63.7,263.34,UA,29,258.16
2012,2,30140,33667,ABQ,ORF,1702,49.12,281.94,WN,52.6,268.91,WN,52.6,268.91
