Year,Quarter,carrier,carshare,carfare,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2012,3,US,78.82352941,327.9162687,Table 1a,78.82,327.92,18.82,296.69,30135,30721,ABE,BOS,259,9.239130435,321.6917647,US,UA
2012,3,US,55.55555556,337.0070909,Table 1a,55.56,337.01,31.31,310.92,30135,30647,ABE,CLE,339,10.76086957,322.8825253,US,UA
2012,3,US,97.14285714,177.6426471,Table 1a,97.14,177.64,97.14,177.64,30135,30852,ABE,DCA,151,3.804347826,176.6871429,US,US
2012,3,US,37.26415094,376.9388608,Table 1a,37.26,376.94,32.55,283.75,30135,30194,ABE,DFW,1307,23.04347826,325.0460849,US,DL
2012,3,US,51.51515152,281.9407353,Table 1a,51.52,281.94,12.12,179.38,30135,32467,ABE,FLL,1041,14.34782609,258.5885606,US,UA
2012,3,DL,100,305.8635714,Table 1a,100,305.86,100,305.86,30135,31453,ABE,HOU,1350,1.52173913,305.8635714,DL,DL
2012,3,US,1.538461539,185,Table 1a,98.46,183.08,98.46,183.08,30135,30852,ABE,IAD,159,7.065217391,183.1135385,UA,UA
2012,3,US,30.18867925,449.6254167,Table 1a,42.14,265.67,42.14,265.67,30135,31453,ABE,IAH,1339,17.2826087,326.5353459,UA,UA
2012,3,US,21.75572519,445.2019298,Table 1a,56.11,322.66,56.11,322.66,30135,32575,ABE,LAX,2388,28.47826087,354.8125573,UA,UA
2012,3,DL,100,383.6390909,Table 1a,100,383.64,100,383.64,30135,30977,ABE,MDW,646,1.195652174,383.6390909,DL,DL
2012,3,US,100,322.2864286,Table 1a,100,322.29,100,322.29,30135,30721,ABE,MHT,260,1.52173913,322.2864286,US,US
2012,3,US,39.58333333,337.3610526,Table 1a,39.58,337.36,33.33,252.13,30135,32467,ABE,MIA,1061,5.217391304,308.425625,US,DL
2012,3,US,23.07692308,410.0255556,Table 1a,38.46,501.76,28.21,268.46,30135,32575,ABE,ONT,2342,4.239130435,403.3548718,DL,UA
2012,3,US,18.46153846,340.7815278,Table 1a,77.44,345.44,18.46,340.78,30135,30977,ABE,ORD,654,84.7826087,344.140859,UA,US
2012,3,G4,99.63369963,106.5911275,Table 1a,99.63,106.59,99.63,106.59,30135,33195,ABE,PIE,970,89.02173913,106.6153968,G4,G4
2012,3,US,80,338.253125,Table 1a,80,338.25,20,299.12,30135,30721,ABE,PVD,222,2.173913044,330.427,US,UA
2012,3,US,14.13043478,397.1792308,Table 1a,70.65,362.12,70.65,362.12,30135,32457,ABE,SFO,2500,20,360.7220109,UA,UA
2012,3,US,28.57142857,621.8125,Table 1a,28.57,424.45,28.57,424.45,30135,32457,ABE,SJC,2483,1.52173913,547.1571429,UA,UA
2012,3,US,7.142857143,467.814,Table 1a,67.14,374.05,18.57,352.18,30135,32575,ABE,SNA,2367,7.608695652,392.16,UA,DL
2012,3,US,54.4,307.8835294,Table 1a,54.4,307.88,20,251.37,30135,33195,ABE,TPA,962,13.58695652,296.49472,US,UA
2012,3,AA,96.92307692,371.2112698,Table 1a,96.92,371.21,96.92,371.21,30136,30852,ABI,BWI,1370,7.065217391,364.7375385,AA,AA
2012,3,AA,91.66666667,427.8727273,Table 1a,91.67,427.87,91.67,427.87,30136,30852,ABI,DCA,1345,2.608695652,414.05,AA,AA
2012,3,AA,100,127.4894249,Table 1a,100,127.49,100,127.49,30136,30194,ABI,DFW,158,34.02173913,127.4894249,AA,AA
2012,3,AA,98.03921569,217.6442,Table 1a,98.04,217.64,98.04,217.64,30136,31453,ABI,HOU,323,5.543478261,215.3945098,AA,AA
2012,3,AA,89.47368421,508.0517647,Table 1a,89.47,508.05,89.47,508.05,30136,30852,ABI,IAD,1325,2.065217391,479.1452632,AA,AA
2012,3,AA,97.89473684,201.8405376,Table 1a,97.89,201.84,97.89,201.84,30136,31453,ABI,IAH,307,10.32608696,203.8696842,AA,AA
2012,3,AA,97.4025974,323.8322667,Table 1a,97.4,323.83,97.4,323.83,30136,32575,ABI,LAX,1089,8.369565217,324.8741558,AA,AA
2012,3,AA,96.84210526,285.8311957,Table 1a,96.84,285.83,96.84,285.83,30136,30977,ABI,ORD,924,10.32608696,283.9065263,AA,AA
2012,3,AA,97.05882353,325.67,Table 1a,97.06,325.67,97.06,325.67,30136,32575,ABI,SNA,1058,3.695652174,336.4461765,AA,AA
2012,3,WN,21.31546894,300.7551143,Table 1a,45.92,249.07,45.92,249.07,30140,30721,ABQ,BOS,1974,178.4782609,286.5479903,AA,AA
2012,3,WN,83.19039451,186.0770928,Table 1a,83.19,186.08,83.19,186.08,30140,32575,ABQ,BUR,672,63.36956522,187.2585763,WN,WN
2012,3,WN,73.31118494,266.4946274,Table 1a,73.31,266.49,10.85,193,30140,30852,ABQ,BWI,1670,294.4565217,252.3161425,WN,DL
2012,3,WN,14.28571429,295.4033333,Table 1a,61.9,217.1,61.9,217.1,30140,30647,ABQ,CAK,1427,9.130434783,238.5244048,F9,F9
2012,3,WN,35.78431373,281.1231507,Table 1a,35.78,281.12,20.59,259.42,30140,30647,ABQ,CLE,1411,44.34782609,275.6956618,WN,AA
2012,3,WN,99.7734139,176.7099596,Table 1a,99.77,176.71,99.77,176.71,30140,30194,ABQ,DAL,580,431.7391304,176.7170242,WN,WN
2012,3,US,6.539923954,345.4113954,Table 1a,50.11,255.82,50.11,255.82,30140,30852,ABQ,DCA,1650,142.9347826,286.6737795,AA,F9
2012,3,US,1.092896175,275.0427273,Table 1a,95.93,182.17,95.93,182.17,30140,30194,ABQ,DFW,569,218.8043478,183.4206756,AA,F9
2012,3,WN,26.76493406,243.5828406,Table 1a,30.64,293.49,26.76,243.58,30140,31703,ABQ,EWR,1805,140.1086957,264.3074321,UA,WN
2012,3,WN,41.013269,229.4855294,Table 1a,41.01,229.49,11.58,210.7,30140,32467,ABQ,FLL,1687,90.10869565,226.2438842,WN,DL
2012,3,WN,98.73638344,209.1330053,Table 1a,98.74,209.13,98.74,209.13,30140,31453,ABQ,HOU,759,249.4565217,209.4012854,WN,WN
2012,3,UA,7.5,224.33,Table 1a,60,301.75,60,301.75,30140,31703,ABQ,HPN,1830,4.347826087,316.0755,DL,UA
2012,3,WN,19.4719472,263.3703051,Table 1a,60.46,365.03,15.31,204.56,30140,30852,ABQ,IAD,1628,164.673913,320.7540132,UA,AA
2012,3,US,2.11554109,226.1746154,Table 1a,90.4,245.07,90.4,245.07,30140,31453,ABQ,IAH,744,133.5869565,241.913987,UA,US
2012,3,WN,99.3902439,308.9711656,Table 1a,99.39,308.97,99.39,308.97,30140,31703,ABQ,ISP,1861,17.82608696,310.05,WN,WN
2012,3,US,10.37344398,332.8756,Table 1a,41.49,247.53,41.49,247.53,30140,31703,ABQ,JFK,1826,26.19565217,274.276805,DL,DL
2012,3,WN,66.98062911,170.6989785,Table 1a,66.98,170.7,66.98,170.7,30140,32575,ABQ,LAX,677,611.6304348,173.337711,WN,WN
2012,3,WN,13.69796709,249.4246643,Table 1a,47.24,233.46,47.24,233.46,30140,31703,ABQ,LGA,1821,224.5652174,248.9190997,AA,CO
2012,3,US,82.38993711,180.1360305,Table 1a,82.39,180.14,15.09,167.43,30140,32575,ABQ,LGB,664,17.2826087,177.307673,US,DL
2012,3,WN,93.96898334,229.1148839,Table 1a,93.97,229.11,93.97,229.11,30140,30977,ABQ,MDW,1121,189.2391304,226.4792878,WN,WN
2012,3,WN,79.20353982,299.3469553,Table 1a,79.2,299.35,79.2,299.35,30140,30721,ABQ,MHT,1955,49.13043478,311.8339823,WN,WN
2012,3,US,0.819672131,435.07,Table 1a,61.89,273.37,12.7,227.07,30140,32467,ABQ,MIA,1689,26.52173913,271.8118033,AA,UA
2012,3,WN,95.32581798,187.9216931,Table 1a,95.33,187.92,95.33,187.92,30140,32457,ABQ,OAK,889,395.326087,189.0485043,WN,WN
2012,3,WN,83.35809807,224.3747772,Table 1a,83.36,224.37,83.36,224.37,30140,32575,ABQ,ONT,630,73.15217391,227.0356315,WN,WN
2012,3,US,2.570532915,268.1787805,Table 1a,63.26,255.15,63.26,255.15,30140,30977,ABQ,ORD,1118,173.3695652,258.3249216,AA,DL
2012,3,WN,51.15606936,263.8385876,Table 1a,51.16,263.84,51.16,263.84,30140,33667,ABQ,ORF,1702,37.60869565,279.1422254,WN,WN
2012,3,US,20.45454546,353.5566667,Table 1a,63.64,473.58,20.45,353.56,30140,33667,ABQ,PHF,1685,4.782608696,428.5222727,DL,US
2012,3,WN,82.33695652,288.2749505,Table 1a,82.34,288.27,82.34,288.27,30140,30721,ABQ,PVD,1950,40,298.3982609,WN,WN
2012,3,WN,44.61358314,186.4089108,Table 1a,44.61,186.41,44.61,186.41,30140,32457,ABQ,SFO,896,185.6521739,202.6726698,WN,WN
2012,3,WN,79.19911012,204.8622332,Table 1a,79.2,204.86,79.2,204.86,30140,32457,ABQ,SJC,870,97.7173913,212.9544716,WN,WN
2012,3,WN,71.81069959,209.8317049,Table 1a,71.81,209.83,71.81,209.83,30140,32575,ABQ,SNA,650,105.6521739,211.5206893,WN,WN
2012,3,US,11.11111111,311.44,Table 1a,66.67,406.91,11.11,311.44,30140,31703,ABQ,SWF,1811,1.956521739,365.2722222,DL,US
2012,3,WN,53.6756126,218.0181087,Table 1a,53.68,218.02,25.44,201.7,30140,33195,ABQ,TPA,1498,93.15217391,218.8115053,WN,AA
2012,3,DL,98.33333333,262.1020339,Table 1a,98.33,262.1,98.33,262.1,30146,30852,ABY,BWI,676,6.52173913,259.0391667,DL,DL
2012,3,DL,98.0952381,292.9711651,Table 1a,98.1,292.97,98.1,292.97,30146,30852,ABY,DCA,646,11.41304348,291.8814286,DL,DL
2012,3,DL,100,309.7016667,Table 1a,100,309.7,100,309.7,30146,31703,ABY,EWR,843,3.260869565,309.7016667,DL,DL
2012,3,DL,95.45454546,304.6271429,Table 1a,95.45,304.63,95.45,304.63,30146,30852,ABY,IAD,637,2.391304348,305.0518182,DL,DL
2012,3,DL,100,180.005,Table 1a,100,180,100,180,30146,31703,ABY,JFK,855,1.739130435,180.005,DL,DL
2012,3,DL,100,216.9202,Table 1a,100,216.92,100,216.92,30146,31703,ABY,LGA,858,5.434782609,216.9202,DL,DL
2012,3,B6,96.02977668,131.122739,Table 1a,96.03,131.12,96.03,131.12,30154,30721,ACK,BOS,91,43.80434783,131.6629529,B6,B6
2012,3,B6,83.33333333,382.631,Table 1a,83.33,382.63,83.33,382.63,30154,32575,ACK,BUR,2655,1.304347826,375.5341667,B6,B6
2012,3,UA,15.625,138.4126667,Table 1a,26.04,200.13,18.75,115.38,30154,30852,ACK,BWI,378,10.43478261,192.4628125,B6,DL
2012,3,US,61.3086771,300.2136891,Table 1a,61.31,300.21,15.93,209.26,30154,30852,ACK,DCA,405,76.41304348,275.5456757,US,B6
2012,3,UA,60,193.0901961,Table 1a,60,193.09,60,193.09,30154,31703,ACK,EWR,218,9.239130435,224.1071765,UA,UA
2012,3,UA,11.90476191,164.374,Table 1a,57.14,233.6,11.9,164.37,30154,30852,ACK,IAD,423,4.565217391,229.1616667,B6,UA
2012,3,DL,19.78021978,165.2322222,Table 1a,78.41,185.31,19.78,165.23,30154,31703,ACK,JFK,199,276.9565217,182.1655652,B6,DL
2012,3,US,1.315789474,658.06,Table 1a,43.42,408.24,15.79,342.09,30154,32575,ACK,LAX,2666,8.260869565,477.8578947,UA,DL
2012,3,B6,75,360.8908333,Table 1a,75,360.89,75,360.89,30154,32457,ACK,OAK,2757,1.739130435,364.40125,B6,B6
2012,3,US,3.90625,321.88,Table 1a,48.83,208.46,48.83,208.46,30154,30977,ACK,ORD,924,27.82608696,249.4344141,UA,UA
2012,3,UA,37.5,396.2679487,Table 1a,37.5,396.27,30.77,394.92,30154,32457,ACK,SFO,2768,11.30434783,424.06625,UA,B6
2012,3,UA,27.86885246,219.5223529,Table 1a,72.13,311.66,27.87,219.52,30155,30852,ACT,BWI,1269,6.630434783,285.9796721,AA,UA
2012,3,UA,6.666666667,563.07,Table 1a,93.33,392.25,93.33,392.25,30155,30852,ACT,DCA,1243,3.260869565,403.6386667,AA,AA
2012,3,AA,81.81818182,424.0344444,Table 1a,81.82,424.03,81.82,424.03,30155,30852,ACT,IAD,1223,1.195652174,394.4763636,AA,AA
2012,3,UA,15,316.7566667,Table 1a,83.33,262.83,83.33,262.83,30155,32575,ACT,LAX,1241,6.52173913,273.5343333,AA,AA
2012,3,AA,96,335.5445833,Table 1a,96,335.54,96,335.54,30155,32575,ACT,ONT,1195,2.717391304,333.2812,AA,AA
2012,3,UA,11,267.8863636,Table 1a,83,271.28,11,267.89,30155,30977,ACT,ORD,881,10.86956522,275.3778,AA,UA
2012,3,UA,5.405405405,203.93,Table 1a,91.89,252.36,91.89,252.36,30155,32575,ACT,SNA,1210,4.02173913,252.9037838,AA,UA
2012,3,UA,100,292.3245946,Table 1a,100,292.32,100,292.32,30157,32575,ACV,BUR,564,4.02173913,292.3245946,UA,UA
2012,3,UA,86.36363636,390.8763158,Table 1a,86.36,390.88,86.36,390.88,30157,30852,ACV,BWI,2486,2.391304348,399.2877273,UA,UA
2012,3,UA,75,449.6708333,Table 1a,75,449.67,75,449.67,30157,30852,ACV,DCA,2475,1.739130435,441.02,UA,UA
2012,3,UA,87.71929825,312.23,Table 1a,87.72,312.23,87.72,312.23,30157,31703,ACV,EWR,2581,6.195652174,306.4435088,UA,UA
2012,3,UA,92.10526316,373.3911429,Table 1a,92.11,373.39,92.11,373.39,30157,30852,ACV,IAD,2451,8.260869565,356.6432895,UA,UA
2012,3,UA,83.33333333,351.4675,Table 1a,83.33,351.47,83.33,351.47,30157,31703,ACV,JFK,2601,5.217391304,347.3275,UA,UA
2012,3,UA,80.28846154,297.5298802,Table 1a,80.29,297.53,80.29,297.53,30157,32575,ACV,LAX,577,22.60869565,283.3407212,UA,UA
2012,3,UA,86.53846154,286.9422222,Table 1a,86.54,286.94,86.54,286.94,30157,32575,ACV,ONT,596,5.652173913,262.0251923,UA,UA
2012,3,UA,93.51851852,368.9162376,Table 1a,93.52,368.92,93.52,368.92,30157,30977,ACV,ORD,1866,11.73913044,367.827037,UA,UA
2012,3,UA,99.35275081,243.7976873,Table 1a,99.35,243.8,99.35,243.8,30157,32457,ACV,SFO,250,33.58695652,243.5345955,UA,UA
2012,3,UA,96.84210526,315.6938044,Table 1a,96.84,315.69,96.84,315.69,30157,32575,ACV,SNA,609,10.32608696,311.9621053,UA,UA
