tbl,Year,quarter,citymarketid_1,citymarketid_2,City1,City2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table1a,2014,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11259,ABQ,DAL,425,192.726087,WN,0.994373402,192.6861626,WN,0.994373402,192.6861626
Table1a,2014,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11298,ABQ,DFW,245.1086957,188.9760532,AA,0.950776053,187.2652519,US,0.016851441,242.7921053
Table1a,2014,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11298,ABQ,DFW,245.1086957,188.9760532,AA,0.950776053,187.2652519,AA,0.950776053,187.2652519
Table1a,2014,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11298,ABQ,DFW,245.1086957,188.9760532,AA,0.950776053,187.2652519,UA,0.022616408,212.3509804
Table1a,2014,3,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,10140,14107,ABQ,PHX,676.5217391,166.6625321,WN,0.824871465,166.7819829,US,0.173039846,165.4873723
Table1a,2014,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,10140,10721,ABQ,BOS,201.3043478,269.3577214,WN,0.343412527,249.4382075,AA,0.327213823,277.2762376
Table1a,2014,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,10140,13296,ABQ,MHT,32.60869565,283.3436667,WN,0.863333333,272.0355212,DL,0.1,349.1633333
Table1a,2014,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,10140,14307,ABQ,PVD,36.73913043,296.404142,WN,0.819526627,284.9256318,DL,0.136094675,293.8521739
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,10821,ABQ,BWI,343.9130435,253.9026865,WN,0.806257901,254.7721286,UA,0.024020228,327.1552632
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,10821,ABQ,BWI,343.9130435,253.9026865,WN,0.806257901,254.7721286,AA,0.086599241,239.7613139
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,10821,ABQ,BWI,343.9130435,253.9026865,WN,0.806257901,254.7721286,DL,0.066687737,231.8545024
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,10821,ABQ,BWI,343.9130435,253.9026865,WN,0.806257901,254.7721286,WN,0.806257901,254.7721286
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,11278,ABQ,DCA,166.7391304,297.6520209,AA,0.399608866,299.6287113,AA,0.399608866,299.6287113
Table1a,2014,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,12264,ABQ,IAD,96.63043478,322.7447694,AA,0.412823397,271.8580381,AA,0.412823397,271.8580381
Table1a,2014,3,30140,30977,"Albuquerque, NM","Chicago, IL",1121,10140,13232,ABQ,MDW,188.0434783,253.5110405,WN,0.940462428,255.650461,WN,0.940462428,255.650461
Table1a,2014,3,30140,30977,"Albuquerque, NM","Chicago, IL",1121,10140,13232,ABQ,MDW,188.0434783,253.5110405,WN,0.940462428,255.650461,DL,0.056069364,220.6402062
Table1a,2014,3,30140,30977,"Albuquerque, NM","Chicago, IL",1121,10140,13930,ABQ,ORD,158.6956522,281.2226712,AA,0.570547945,288.2193277,AA,0.570547945,288.2193277
Table1a,2014,3,30140,31453,"Albuquerque, NM","Houston, TX",759,10140,12191,ABQ,HOU,238.5869565,240.0775854,WN,0.975854214,239.7731092,AA,0.022323462,254.2061224
Table1a,2014,3,30140,31453,"Albuquerque, NM","Houston, TX",759,10140,12191,ABQ,HOU,238.5869565,240.0775854,WN,0.975854214,239.7731092,WN,0.975854214,239.7731092
Table1a,2014,3,30140,31453,"Albuquerque, NM","Houston, TX",759,10140,12266,ABQ,IAH,118.8043478,267.5755718,UA,0.817932296,274.7277405,AA,0.155535224,229.8964706
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,11618,ABQ,EWR,90.97826087,291.5505376,AA,0.33213859,257.4665468,AA,0.33213859,257.4665468
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12197,ABQ,HPN,3.586956522,354.3545455,DL,0.515151515,342.9058824,AA,0.272727273,371.9777778
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12391,ABQ,ISP,10.32608696,255.7831579,WN,0.978947368,253.4666667,US,0.021052632,363.5
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12391,ABQ,ISP,10.32608696,255.7831579,WN,0.978947368,253.4666667,WN,0.978947368,253.4666667
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12478,ABQ,JFK,247.0652174,193.066916,B6,0.870655521,188.1939363,DL,0.049714034,220.9902655
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12478,ABQ,JFK,247.0652174,193.066916,B6,0.870655521,188.1939363,AA,0.060712714,219.1442029
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12478,ABQ,JFK,247.0652174,193.066916,B6,0.870655521,188.1939363,B6,0.870655521,188.1939363
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12953,ABQ,LGA,199.7826087,227.5369423,AA,0.563656148,210.5790541,AA,0.563656148,210.5790541
Table1a,2014,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,15070,ABQ,SWF,0.760869565,346.3714286,DL,0.428571429,281.6666667,DL,0.428571429,281.6666667
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,13796,ABQ,OAK,363.9130435,214.4986559,WN,0.963261649,214.0654264,US,0.022998805,234.2155844
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,13796,ABQ,OAK,363.9130435,214.4986559,WN,0.963261649,214.0654264,DL,0.011648746,208.6102564
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,13796,ABQ,OAK,363.9130435,214.4986559,WN,0.963261649,214.0654264,WN,0.963261649,214.0654264
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14771,ABQ,SFO,225.9782609,202.7679654,WN,0.544011544,177.517595,AA,0.046657047,209.2938144
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14831,ABQ,SJC,71.63043478,269.2335357,WN,0.792109256,259.1342912,AA,0.010622155,304.0857143
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,10800,ABQ,BUR,51.52173913,222.064557,WN,0.907172996,219.2616279,US,0.073839662,239.2571429
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,10800,ABQ,BUR,51.52173913,222.064557,WN,0.907172996,219.2616279,WN,0.907172996,219.2616279
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12892,ABQ,LAX,562.826087,201.3327346,WN,0.681730398,196.5691501,AA,0.156431054,219.5159259
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12954,ABQ,LGB,16.19565217,197.9409396,US,0.785234899,194.574359,AA,0.013422819,313.75
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,13891,ABQ,ONT,59.02173913,267.6830571,WN,0.755064457,266.2087805,DL,0.020257827,405.8636364
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,14908,ABQ,SNA,79.7826087,252.9042234,WN,0.697547684,252.2220703,AA,0.01226158,399.6111111
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,11618,ACK,EWR,8.913043478,201.3256098,UA,0.451219512,173.072973,B6,0.195121951,153.9125
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12197,ACK,HPN,0.543478261,277.62,9K,1,277.62,9K,1,277.62
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12478,ACK,JFK,344.673913,179.0202144,B6,0.718700725,178.4145239,B6,0.718700725,178.4145239
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12953,ACK,LGA,10.65217391,174.9418367,DL,0.948979592,172.2688172,DL,0.948979592,172.2688172
Table1a,2014,3,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,10158,11697,ACY,FLL,571.3043478,104.8141172,NK,1,104.8141172,NK,1,104.8141172
Table1a,2014,3,30158,33195,"Atlantic City, NJ","Tampa, FL (Metropolitan Area)",913,10158,15304,ACY,TPA,219.3478261,104.9345887,NK,0.99950446,104.5592464,NK,0.99950446,104.5592464
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11259,COS,DAL,1.847826087,235.4,UA,1,235.4,UA,1,235.4
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11298,COS,DFW,213.2608696,214.7108563,AA,0.950560652,215.5639678,AA,0.950560652,215.5639678
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11298,COS,DFW,213.2608696,214.7108563,AA,0.950560652,215.5639678,UA,0.041794088,197.595122
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,10821,COS,BWI,49.13043478,304.4661504,UA,0.688053097,304.1855305,AA,0.185840708,294.4380952
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,11278,COS,DCA,80.54347826,268.5757085,AA,0.715249663,230.3515094,AA,0.715249663,230.3515094
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,12264,COS,IAD,87.93478261,335.9312732,UA,0.817058096,356.2350983,AA,0.142150803,222.2565217
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,10800,COS,BUR,5.326086957,265.4673469,UA,0.775510204,266.3236842,DL,0.204081633,275.29
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12892,COS,LAX,147.826087,242.2597059,UA,0.915441176,242.1933333,DL,0.075,229.7245098
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12892,COS,LAX,147.826087,242.2597059,UA,0.915441176,242.1933333,UA,0.915441176,242.1933333
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12954,COS,LGB,1.195652174,242.8090909,DL,0.909090909,248.53,DL,0.909090909,248.53
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,13891,COS,ONT,7.065217391,294.8230769,UA,0.815384615,273.4924528,AA,0.030769231,298.5
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,14908,COS,SNA,14.89130435,311.7927007,UA,0.802919708,302.8990909,AA,0.072992701,446.7
Table1a,2014,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11259,14122,DAL,PIT,55.97826087,226.7638835,WN,0.867961165,223.9250559,DL,0.050485437,251.5423077
